Date,Open,High,Low,Close,Volume,stk_code
2020-12-04,280.29998779296875,283.4599914550781,279.29998779296875,279.70001220703125,10880300,FB
2020-12-07,279.19000244140625,288.489990234375,278.20001220703125,285.5799865722656,13007700,FB
2020-12-08,286.010009765625,286.42999267578125,281.54998779296875,283.3999938964844,10747700,FB
2020-12-09,283.6600036621094,287.6300048828125,271.75,277.9200134277344,25189700,FB
2020-12-10,275.5400085449219,278.7300109863281,271.8599853515625,277.1199951171875,20065100,FB
2020-12-11,274.5299987792969,276.4800109863281,270.25,273.54998779296875,14391400,FB
2020-12-14,273.3699951171875,277.2200012207031,271.55999755859375,274.19000244140625,16376900,FB
2020-12-15,274.8299865722656,276.0799865722656,267.4700012207031,275.54998779296875,23979500,FB
2020-12-16,274.760009765625,277.8599853515625,272.510009765625,275.6700134277344,15885000,FB
2020-12-17,277.07000732421875,280.44000244140625,273.6099853515625,274.4800109863281,16377800,FB
2020-12-18,275.7699890136719,278.0,271.1400146484375,276.3999938964844,26693200,FB
2020-12-21,272.9800109863281,274.6700134277344,267.7900085449219,272.7900085449219,16553700,FB
2020-12-22,271.5,271.5,264.6300048828125,267.0899963378906,17312900,FB
2020-12-23,266.8900146484375,272.1700134277344,266.2300109863281,268.1099853515625,14329000,FB
2020-12-24,268.8800048828125,270.3999938964844,266.20001220703125,267.3999938964844,6702000,FB
2020-12-28,268.739990234375,277.29998779296875,265.6600036621094,277.0,23299700,FB
2020-12-29,276.95001220703125,280.510009765625,276.2799987792969,276.7799987792969,16383000,FB
2020-12-30,277.95001220703125,278.0799865722656,271.7099914550781,271.8699951171875,11803800,FB
2020-12-31,272.0,277.0899963378906,269.80999755859375,273.1600036621094,12900400,FB
2021-01-04,274.7799987792969,275.0,265.20001220703125,268.94000244140625,15106100,FB
2021-01-05,268.2900085449219,272.3999938964844,268.2099914550781,270.9700012207031,9871600,FB
2021-01-06,262.0,267.75,260.010009765625,263.30999755859375,24354100,FB
2021-01-07,265.8999938964844,271.6099853515625,264.7799987792969,268.739990234375,15789800,FB
2021-01-08,268.30999755859375,268.95001220703125,263.17999267578125,267.57000732421875,18528300,FB
2021-01-11,260.4800109863281,263.4700012207031,255.89999389648438,256.8399963378906,30412300,FB
2021-01-12,256.6300048828125,259.7200012207031,250.3000030517578,251.08999633789062,26383500,FB
2021-01-13,251.5500030517578,253.9499969482422,249.1999969482422,251.63999938964844,19528900,FB
2021-01-14,253.39999389648438,255.02999877929688,244.61000061035156,245.63999938964844,29739400,FB
2021-01-15,247.89999389648438,253.86000061035156,247.16000366210938,251.36000061035156,24942900,FB
2021-01-19,256.8999938964844,262.20001220703125,252.72000122070312,261.1000061035156,28028500,FB
2021-01-20,268.92999267578125,270.32000732421875,263.6000061035156,267.4800109863281,25199900,FB
2021-01-21,269.260009765625,273.6000061035156,267.489990234375,272.8699951171875,20838700,FB
2021-01-22,272.010009765625,278.4700012207031,272.0,274.5,21954000,FB
2021-01-25,278.1400146484375,280.1000061035156,271.510009765625,278.010009765625,19087000,FB
2021-01-26,278.1400146484375,285.3900146484375,277.80999755859375,282.04998779296875,19373600,FB
2021-01-27,282.5299987792969,283.45001220703125,268.1199951171875,272.1400146484375,35346200,FB
2021-01-28,277.17999267578125,286.7900085449219,264.70001220703125,265.0,37758800,FB
2021-01-29,265.29998779296875,266.55999755859375,254.85000610351562,258.3299865722656,30389500,FB
2021-02-01,259.5199890136719,264.1700134277344,254.91000366210938,262.010009765625,22914300,FB
2021-02-02,264.0,268.8500061035156,263.2699890136719,267.0799865722656,17320800,FB
2021-02-03,265.6199951171875,269.20001220703125,263.8399963378906,266.6499938964844,14223400,FB
2021-02-04,267.010009765625,268.1600036621094,264.0,266.489990234375,16060000,FB
2021-02-05,266.79998779296875,269.1700134277344,265.6700134277344,268.1000061035156,12454400,FB
2021-02-08,268.75,269.8599853515625,265.0,266.5799865722656,13755200,FB
2021-02-09,266.44000244140625,273.3900146484375,265.75,269.45001220703125,14613400,FB
2021-02-10,272.45001220703125,273.79998779296875,267.7200012207031,271.8699951171875,14687200,FB
2021-02-11,271.8900146484375,273.5799865722656,268.489990234375,270.3900146484375,12828600,FB
2021-02-12,270.5199890136719,271.17999267578125,268.3399963378906,270.5,9097600,FB
2021-02-16,270.79998779296875,276.6000061035156,270.04998779296875,273.9700012207031,15417200,FB
2021-02-17,271.239990234375,273.9700012207031,269.5799865722656,273.57000732421875,12763200,FB
2021-02-18,269.57000732421875,271.95001220703125,266.0299987792969,269.3900146484375,15249100,FB
2021-02-19,269.8599853515625,270.2699890136719,260.1499938964844,261.55999755859375,25622600,FB
2021-02-22,257.95001220703125,263.07000732421875,257.5299987792969,260.3299865722656,17434900,FB
